               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.024208,             0.15167,           0.0044951,             0.96886,             0.94178,             0.97884,             0.84361,            0.017581,            0.072599,           0.0021253,           0.0091406,           0.0091406,           0.0091406
                  62,            0.024059,             0.15449,           0.0045495,              0.9776,             0.94816,             0.98392,             0.83647,             0.01757,            0.072031,           0.0020958,           0.0091127,           0.0091127,           0.0091127
                  63,            0.024032,              0.1538,           0.0045061,             0.96769,             0.94278,             0.97779,             0.83352,            0.017849,            0.073131,           0.0021059,           0.0090844,           0.0090844,           0.0090844
                  64,            0.023624,             0.15237,           0.0044522,             0.97648,              0.9418,             0.98152,             0.83977,             0.01747,            0.072083,           0.0020944,           0.0090557,           0.0090557,           0.0090557
                  65,            0.023594,             0.15151,           0.0045105,             0.97936,             0.94177,             0.98205,             0.84772,            0.016849,            0.070379,           0.0020833,           0.0090266,           0.0090266,           0.0090266
                  66,            0.023761,             0.15256,           0.0043804,              0.9772,             0.94848,             0.98338,             0.84639,            0.017272,            0.070619,            0.002064,           0.0089972,           0.0089972,           0.0089972
                  67,            0.023356,             0.15254,           0.0043641,             0.97854,             0.94596,             0.98369,             0.81994,            0.018275,            0.073284,            0.002104,           0.0089673,           0.0089673,           0.0089673
                  68,            0.023509,              0.1551,           0.0044559,             0.97738,             0.94456,             0.98293,             0.84687,            0.017239,            0.070724,           0.0020813,           0.0089371,           0.0089371,           0.0089371
                  69,            0.023323,              0.1514,           0.0043902,              0.9756,             0.95246,             0.98454,             0.84518,            0.017118,            0.072236,           0.0021113,           0.0089065,           0.0089065,           0.0089065
                  70,            0.023614,             0.15253,           0.0044553,             0.97353,              0.9505,             0.98333,             0.83748,            0.017691,            0.072104,           0.0020888,           0.0088755,           0.0088755,           0.0088755
                  71,            0.023318,             0.15007,           0.0044053,              0.9783,             0.94566,             0.98356,             0.83739,            0.017624,            0.072286,           0.0020885,           0.0088442,           0.0088442,           0.0088442
                  72,            0.023158,             0.15165,           0.0043574,              0.9763,             0.94848,             0.98363,             0.84242,             0.01698,            0.070206,           0.0020396,           0.0088124,           0.0088124,           0.0088124
                  73,            0.022991,             0.14882,           0.0043762,             0.97552,             0.94886,             0.98298,             0.85105,            0.016681,            0.069623,           0.0020348,           0.0087804,           0.0087804,           0.0087804
                  74,            0.023045,             0.14913,           0.0043819,             0.97541,             0.95058,             0.98356,             0.84002,            0.017216,            0.071245,           0.0020743,           0.0087479,           0.0087479,           0.0087479
                  75,            0.023084,             0.15004,           0.0044127,             0.98013,             0.94869,             0.98399,              0.8512,            0.016718,            0.070207,           0.0020809,           0.0087151,           0.0087151,           0.0087151
                  76,            0.023312,             0.14652,           0.0042877,             0.97875,             0.94915,             0.98419,             0.84391,            0.017171,            0.070154,           0.0020199,            0.008682,            0.008682,            0.008682
                  77,             0.02267,             0.14795,           0.0042927,             0.97987,             0.94936,             0.98359,             0.85993,            0.016307,            0.067567,           0.0020101,           0.0086485,           0.0086485,           0.0086485
                  78,            0.023177,             0.14974,           0.0042376,             0.97713,             0.95184,             0.98393,             0.85724,            0.016354,            0.069264,           0.0020261,           0.0086146,           0.0086146,           0.0086146
                  79,            0.032052,             0.18668,           0.0052337,             0.83142,             0.87644,             0.92765,             0.50976,            0.031043,             0.10982,           0.0027594,           0.0085805,           0.0085805,           0.0085805
                  80,            0.031205,             0.18545,           0.0049777,             0.88522,             0.86471,             0.93108,             0.57089,            0.028455,             0.10268,           0.0025615,           0.0085459,           0.0085459,           0.0085459
                  81,            0.028404,             0.17407,             0.00491,             0.93406,             0.91248,             0.96298,             0.71918,            0.022701,            0.088401,           0.0022798,           0.0085111,           0.0085111,           0.0085111
                  82,            0.026732,             0.16991,           0.0047844,             0.93538,              0.9199,             0.96351,              0.7422,            0.021357,            0.085943,             0.00227,           0.0084759,           0.0084759,           0.0084759
                  83,            0.025643,             0.16583,           0.0047179,             0.96178,             0.93479,              0.9762,             0.80159,            0.019111,            0.078717,           0.0021899,           0.0084404,           0.0084404,           0.0084404
                  84,            0.024358,             0.15904,           0.0046409,             0.97032,             0.94065,             0.97895,             0.83682,              0.0176,            0.072578,           0.0020757,           0.0084046,           0.0084046,           0.0084046
                  85,            0.024145,             0.15687,           0.0046046,              0.9704,             0.94314,             0.97945,             0.81947,            0.018704,            0.075547,           0.0020959,           0.0083684,           0.0083684,           0.0083684
                  86,             0.02309,             0.15311,           0.0043807,             0.97479,             0.94913,             0.98356,              0.8418,            0.016959,            0.071323,            0.002028,           0.0083319,           0.0083319,           0.0083319
                  87,            0.023354,              0.1528,           0.0043098,             0.97419,             0.94593,             0.98262,             0.84738,            0.016936,            0.072207,           0.0020337,           0.0082952,           0.0082952,           0.0082952
                  88,            0.022935,             0.14847,           0.0042877,             0.97889,             0.94563,             0.98338,             0.85301,            0.016453,            0.069979,            0.002012,           0.0082581,           0.0082581,           0.0082581
                  89,             0.02281,             0.15024,           0.0042801,             0.97228,             0.94829,             0.98311,             0.85378,             0.01654,            0.069605,           0.0019953,           0.0082207,           0.0082207,           0.0082207
                  90,            0.022856,              0.1481,           0.0043709,             0.97827,             0.95122,             0.98467,             0.85086,            0.016529,            0.070967,           0.0020533,            0.008183,            0.008183,            0.008183
                  91,            0.032647,             0.18923,           0.0054387,             0.83954,             0.85658,             0.92629,             0.53045,            0.030323,             0.10724,            0.002618,            0.008145,            0.008145,            0.008145
                  92,            0.029732,             0.18244,           0.0049526,             0.88487,             0.87173,             0.93294,             0.57982,            0.027983,             0.10228,           0.0025059,           0.0081068,           0.0081068,           0.0081068
                  93,            0.026935,             0.17084,           0.0047403,             0.91848,             0.88863,             0.94616,             0.69541,            0.023852,            0.091651,           0.0023665,           0.0080682,           0.0080682,           0.0080682
                  94,            0.025564,              0.1628,           0.0046782,             0.93246,             0.90896,             0.95913,             0.75893,            0.021317,            0.084665,           0.0022651,           0.0080294,           0.0080294,           0.0080294
                  95,            0.024347,             0.16028,            0.004628,             0.95714,             0.92834,             0.97258,             0.81605,            0.018892,            0.076141,           0.0021056,           0.0079903,           0.0079903,           0.0079903
                  96,            0.023415,             0.15373,           0.0044667,             0.96813,             0.94008,             0.97836,             0.84114,            0.017491,            0.072479,           0.0020469,           0.0079509,           0.0079509,           0.0079509
                  97,            0.023432,             0.15436,           0.0043326,             0.97659,             0.94865,             0.98299,             0.86171,             0.01624,            0.069357,           0.0020056,           0.0079112,           0.0079112,           0.0079112
                  98,             0.02295,             0.15045,           0.0043764,             0.97013,             0.94299,              0.9795,              0.8554,            0.016881,             0.07007,           0.0019963,           0.0078713,           0.0078713,           0.0078713
                  99,            0.022543,             0.14876,           0.0043195,             0.97797,             0.94665,             0.98287,             0.85418,            0.016515,            0.069184,           0.0019723,           0.0078311,           0.0078311,           0.0078311
                 100,            0.022571,             0.15142,            0.004353,             0.97742,              0.9485,             0.98338,             0.85854,             0.01625,            0.068676,           0.0019476,           0.0077907,           0.0077907,           0.0077907
                 101,            0.022484,             0.14829,           0.0041618,              0.9716,             0.94614,             0.98068,             0.86283,            0.016491,            0.068008,           0.0019683,             0.00775,             0.00775,             0.00775
                 102,            0.022437,             0.14685,            0.004318,             0.97433,             0.94544,             0.98156,             0.86053,            0.016453,            0.067673,           0.0019627,           0.0077091,           0.0077091,           0.0077091
                 103,            0.022217,             0.14747,           0.0042159,             0.97659,             0.94649,             0.98209,             0.86137,            0.016221,            0.067154,           0.0019647,           0.0076679,           0.0076679,           0.0076679
                 104,            0.022049,             0.14585,           0.0042954,             0.97785,             0.95043,             0.98336,             0.86061,            0.016165,            0.067803,           0.0019579,           0.0076265,           0.0076265,           0.0076265
                 105,            0.025453,             0.16344,            0.004725,             0.76664,             0.74472,             0.80858,             0.30314,             0.04627,             0.15243,           0.0038792,           0.0075848,           0.0075848,           0.0075848
                 106,             0.03093,             0.18126,           0.0050056,             0.86683,             0.86601,             0.93236,             0.56501,            0.028243,             0.10235,           0.0024897,            0.007543,            0.007543,            0.007543
                 107,            0.026566,             0.16857,           0.0047127,             0.91104,             0.88816,             0.94423,             0.65752,            0.024546,            0.094656,           0.0023871,           0.0075009,           0.0075009,           0.0075009
                 108,            0.024289,             0.16036,           0.0045058,             0.94359,             0.91426,             0.96415,              0.7803,            0.020332,            0.080614,           0.0021799,           0.0074585,           0.0074585,           0.0074585
                 109,             0.02268,             0.15188,           0.0044266,             0.97364,             0.94065,             0.98063,             0.85745,            0.016488,            0.070026,           0.0020064,            0.007416,            0.007416,            0.007416
