               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.016515,            0.077205,           0.0010617,             0.93964,             0.89198,             0.94155,             0.81377,           0.0069298,            0.027439,          0.00042608,           0.0088442,           0.0088442,           0.0088442
                  72,            0.016437,            0.076898,           0.0011259,             0.93588,             0.89848,             0.94335,             0.81783,           0.0068752,            0.027616,          0.00042495,           0.0088124,           0.0088124,           0.0088124
                  73,             0.01624,             0.07574,          0.00098266,             0.94733,             0.88302,             0.94162,             0.81449,           0.0068243,            0.027185,          0.00043014,           0.0087804,           0.0087804,           0.0087804
                  74,            0.016447,            0.076046,            0.001146,              0.9358,             0.90003,             0.94386,             0.81758,           0.0068308,            0.026939,          0.00044709,           0.0087479,           0.0087479,           0.0087479
                  75,            0.016134,            0.076229,           0.0010222,             0.93171,             0.91123,             0.94553,             0.82532,           0.0066974,            0.026645,          0.00043985,           0.0087151,           0.0087151,           0.0087151
                  76,            0.016235,            0.074715,           0.0010134,             0.94212,             0.90096,             0.94444,             0.82702,           0.0066986,            0.026563,          0.00044407,            0.008682,            0.008682,            0.008682
                  77,            0.016319,            0.076141,           0.0011068,             0.94048,             0.90218,             0.94391,             0.82555,           0.0067793,            0.026816,          0.00042688,           0.0086485,           0.0086485,           0.0086485
                  78,            0.016392,            0.075426,           0.0011774,             0.94024,             0.90182,             0.94425,             0.82557,           0.0066732,            0.026686,          0.00046267,           0.0086146,           0.0086146,           0.0086146
                  79,            0.016206,            0.075115,           0.0010905,              0.9488,             0.90152,             0.94396,             0.82834,           0.0066737,            0.026686,          0.00043062,           0.0085805,           0.0085805,           0.0085805
                  80,            0.016049,            0.074994,           0.0011679,             0.94431,             0.90457,             0.94495,              0.8289,           0.0067217,            0.026673,           0.0003936,           0.0085459,           0.0085459,           0.0085459
                  81,            0.015929,            0.074257,          0.00098488,             0.93781,             0.90729,             0.94508,             0.82971,           0.0066785,            0.026586,          0.00039835,           0.0085111,           0.0085111,           0.0085111
                  82,            0.016068,            0.075122,          0.00098177,             0.94412,             0.90533,             0.94627,              0.8289,           0.0065382,            0.026504,           0.0004056,           0.0084759,           0.0084759,           0.0084759
                  83,            0.016378,             0.07621,           0.0011392,             0.94405,             0.90704,             0.94772,              0.8279,            0.006547,            0.026356,          0.00041285,           0.0084404,           0.0084404,           0.0084404
                  84,            0.016414,            0.076608,           0.0012117,             0.93906,             0.90961,             0.94655,             0.82669,           0.0065914,            0.026298,          0.00048315,           0.0084046,           0.0084046,           0.0084046
                  85,            0.015814,            0.072934,          0.00090695,             0.94474,             0.90018,             0.94596,             0.82744,           0.0066246,            0.026314,          0.00046264,           0.0083684,           0.0083684,           0.0083684
                  86,            0.016257,            0.075497,           0.0010565,             0.94278,             0.90531,             0.94696,              0.8321,           0.0065654,            0.026284,          0.00047575,           0.0083319,           0.0083319,           0.0083319
                  87,            0.015923,            0.074946,           0.0010443,             0.94821,             0.90309,             0.94855,             0.83456,           0.0065256,            0.026045,          0.00043911,           0.0082952,           0.0082952,           0.0082952
                  88,            0.015938,            0.074243,          0.00094484,             0.94937,             0.90201,             0.94818,              0.8362,           0.0064483,             0.02584,          0.00042265,           0.0082581,           0.0082581,           0.0082581
                  89,            0.015732,            0.074678,           0.0010256,             0.94004,             0.90823,             0.94651,             0.83871,           0.0063538,            0.025741,          0.00042151,           0.0082207,           0.0082207,           0.0082207
                  90,             0.01576,            0.073582,           0.0010324,             0.94657,             0.90404,             0.94629,             0.83592,           0.0063262,            0.025818,          0.00042115,            0.008183,            0.008183,            0.008183
                  91,            0.015818,            0.074636,           0.0011804,             0.94561,             0.90371,             0.94656,             0.83727,            0.006308,             0.02578,          0.00040779,            0.008145,            0.008145,            0.008145
                  92,            0.015826,            0.074024,          0.00092597,             0.94381,             0.89969,             0.94425,             0.83678,           0.0062809,            0.025797,          0.00039637,           0.0081068,           0.0081068,           0.0081068
                  93,             0.01566,            0.073152,          0.00096359,             0.94382,              0.8978,             0.94428,             0.83748,           0.0062805,            0.025791,          0.00039293,           0.0080682,           0.0080682,           0.0080682
                  94,            0.015534,             0.07248,          0.00091985,             0.93837,             0.90592,             0.94509,             0.84078,           0.0062325,            0.025705,          0.00039113,           0.0080294,           0.0080294,           0.0080294
                  95,            0.015578,            0.073055,           0.0010172,              0.9401,             0.90785,             0.94611,             0.84189,           0.0062139,            0.025629,          0.00038624,           0.0079903,           0.0079903,           0.0079903
                  96,            0.015413,            0.073568,          0.00086756,              0.9407,             0.90824,             0.94474,             0.84044,           0.0062174,            0.025573,          0.00038257,           0.0079509,           0.0079509,           0.0079509
                  97,            0.015637,            0.073118,          0.00098189,             0.93703,             0.90936,             0.94645,             0.84256,           0.0062257,            0.025551,          0.00037872,           0.0079112,           0.0079112,           0.0079112
                  98,            0.015528,            0.073525,          0.00098395,             0.94085,             0.90844,             0.94606,             0.84263,           0.0061915,            0.025519,          0.00037915,           0.0078713,           0.0078713,           0.0078713
                  99,            0.015569,            0.072673,          0.00094851,             0.94414,             0.90563,             0.94589,             0.84344,           0.0061897,            0.025506,           0.0003806,           0.0078311,           0.0078311,           0.0078311
                 100,            0.015519,             0.07216,          0.00094557,             0.94178,             0.90651,             0.94598,             0.84269,            0.006189,            0.025464,          0.00038294,           0.0077907,           0.0077907,           0.0077907
                 101,            0.015348,            0.071969,          0.00090792,             0.94682,             0.90463,             0.94554,             0.84408,           0.0061793,            0.025413,          0.00038739,             0.00775,             0.00775,             0.00775
                 102,            0.015269,            0.072167,          0.00098316,             0.94521,             0.90453,             0.94514,             0.84348,           0.0061664,            0.025405,          0.00038958,           0.0077091,           0.0077091,           0.0077091
                 103,            0.015346,            0.072075,          0.00091584,             0.94494,             0.90478,             0.94606,             0.84292,           0.0061566,            0.025393,          0.00039273,           0.0076679,           0.0076679,           0.0076679
                 104,             0.01541,            0.072761,          0.00098634,             0.94527,             0.90283,             0.94476,             0.84337,           0.0061397,            0.025354,          0.00039458,           0.0076265,           0.0076265,           0.0076265
                 105,            0.015301,            0.072531,           0.0010223,              0.9443,             0.90311,             0.94487,             0.84274,           0.0061563,             0.02542,          0.00038886,           0.0075848,           0.0075848,           0.0075848
                 106,            0.015154,            0.071417,          0.00097768,             0.94083,             0.90496,             0.94574,             0.84294,           0.0061357,            0.025353,          0.00038449,            0.007543,            0.007543,            0.007543
                 107,            0.015117,            0.072188,          0.00095753,              0.9511,             0.89839,             0.94659,             0.84285,            0.006159,            0.025348,          0.00038395,           0.0075009,           0.0075009,           0.0075009
                 108,            0.015451,            0.072479,          0.00095431,             0.93859,             0.91089,             0.94656,             0.84352,           0.0061417,            0.025278,          0.00038762,           0.0074585,           0.0074585,           0.0074585
                 109,            0.015183,            0.071914,           0.0010755,             0.93938,             0.91211,             0.94675,             0.84319,           0.0061235,            0.025231,          0.00039304,            0.007416,            0.007416,            0.007416
                 110,            0.015228,            0.071103,          0.00093893,             0.93946,             0.91337,             0.94694,             0.84223,           0.0061037,            0.025217,          0.00040094,           0.0073733,           0.0073733,           0.0073733
                 111,            0.015232,            0.072669,          0.00096606,             0.94109,             0.91079,             0.94643,             0.84258,           0.0060632,             0.02516,          0.00040695,           0.0073303,           0.0073303,           0.0073303
                 112,            0.015037,             0.07187,          0.00096653,             0.94525,             0.90833,             0.94675,             0.84378,           0.0060395,            0.025157,          0.00040929,           0.0072872,           0.0072872,           0.0072872
                 113,            0.015041,            0.071372,          0.00088225,             0.94601,             0.90895,             0.94662,             0.84479,           0.0060243,            0.025126,          0.00041319,           0.0072438,           0.0072438,           0.0072438
                 114,            0.015276,            0.071976,          0.00092294,             0.94064,             0.91256,             0.94626,             0.84573,           0.0059937,            0.025069,          0.00041389,           0.0072003,           0.0072003,           0.0072003
                 115,            0.015098,            0.070896,          0.00097053,             0.94231,             0.91167,             0.94661,             0.84614,           0.0059714,            0.025028,          0.00041262,           0.0071566,           0.0071566,           0.0071566
                 116,            0.014991,            0.070995,          0.00097845,             0.94182,             0.91391,             0.94697,             0.84695,            0.005955,            0.025007,          0.00041168,           0.0071127,           0.0071127,           0.0071127
                 117,            0.014831,            0.071021,          0.00093312,             0.94197,             0.91441,             0.94611,             0.84682,           0.0059341,            0.024971,          0.00041329,           0.0070686,           0.0070686,           0.0070686
                 118,              0.0151,            0.071612,          0.00099991,             0.94393,             0.91296,             0.94643,             0.84888,           0.0059103,            0.024914,          0.00041769,           0.0070243,           0.0070243,           0.0070243
                 119,            0.014851,            0.070192,          0.00081408,             0.94774,             0.91073,             0.94661,             0.84999,            0.005904,            0.024906,           0.0004192,           0.0069799,           0.0069799,           0.0069799
                 120,            0.014846,            0.069989,          0.00096849,             0.94712,             0.91089,             0.94684,             0.85123,           0.0058985,            0.024893,          0.00042263,           0.0069353,           0.0069353,           0.0069353
                 121,            0.014908,            0.070746,          0.00095652,             0.94642,             0.91142,             0.94763,             0.85092,           0.0059047,            0.024904,          0.00042225,           0.0068906,           0.0068906,           0.0068906
                 122,            0.014895,             0.07102,          0.00084808,             0.94512,             0.91291,             0.94793,             0.85073,           0.0059005,            0.024896,           0.0004209,           0.0068457,           0.0068457,           0.0068457
                 123,            0.014771,            0.069996,          0.00082322,             0.94443,             0.91449,             0.94815,             0.85049,           0.0058926,            0.024883,          0.00041819,           0.0068006,           0.0068006,           0.0068006
                 124,            0.014884,            0.070628,          0.00097025,             0.94163,             0.91691,             0.94797,             0.85054,           0.0058827,            0.024876,          0.00041923,           0.0067555,           0.0067555,           0.0067555
                 125,            0.014678,            0.070081,          0.00086443,             0.94542,             0.91309,             0.94755,             0.85082,           0.0058729,            0.024869,          0.00041844,           0.0067101,           0.0067101,           0.0067101
                 126,             0.01502,            0.070463,          0.00099267,             0.94271,             0.91555,             0.94764,             0.85137,           0.0058481,            0.024819,          0.00041632,           0.0066647,           0.0066647,           0.0066647
                 127,            0.014541,            0.068451,          0.00093093,             0.94526,              0.9133,             0.94776,             0.85144,           0.0058362,            0.024799,          0.00041539,           0.0066191,           0.0066191,           0.0066191
                 128,            0.014438,            0.068565,          0.00078319,             0.94464,             0.91393,             0.94808,             0.85105,           0.0058291,            0.024781,          0.00041361,           0.0065734,           0.0065734,           0.0065734
                 129,            0.014587,            0.069816,          0.00093511,             0.94439,             0.91416,             0.94815,             0.85158,           0.0058242,            0.024771,          0.00041218,           0.0065276,           0.0065276,           0.0065276
                 130,            0.014708,             0.06998,          0.00080676,             0.94564,             0.91275,              0.9484,             0.85172,           0.0058141,            0.024738,           0.0004097,           0.0064816,           0.0064816,           0.0064816
                 131,            0.014748,            0.069304,          0.00090061,             0.94775,             0.91091,              0.9486,             0.85199,           0.0058162,            0.024717,          0.00040781,           0.0064356,           0.0064356,           0.0064356
                 132,            0.014543,            0.069515,          0.00081475,             0.94353,             0.91553,             0.94875,             0.85139,            0.005816,            0.024702,          0.00040539,           0.0063895,           0.0063895,           0.0063895
                 133,            0.014365,            0.068822,          0.00078696,             0.94688,             0.91372,              0.9493,             0.85259,           0.0058016,            0.024656,          0.00040237,           0.0063432,           0.0063432,           0.0063432
                 134,            0.014628,            0.069195,          0.00086276,              0.9441,             0.91615,             0.94906,             0.85309,           0.0057872,             0.02462,          0.00040111,           0.0062969,           0.0062969,           0.0062969
                 135,            0.014475,            0.068225,          0.00076711,             0.94454,             0.91553,             0.94918,             0.85289,           0.0057776,            0.024585,          0.00039967,           0.0062505,           0.0062505,           0.0062505
                 136,            0.014562,            0.069776,          0.00085661,             0.94414,             0.91677,             0.94845,             0.85248,           0.0057705,            0.024557,          0.00039806,            0.006204,            0.006204,            0.006204
                 137,            0.014508,            0.068574,          0.00092161,             0.94108,             0.91897,             0.94867,              0.8529,           0.0057655,            0.024548,          0.00039766,           0.0061574,           0.0061574,           0.0061574
                 138,            0.014318,            0.067737,          0.00080243,             0.94161,             0.91828,              0.9493,             0.85357,           0.0057551,            0.024526,          0.00039776,           0.0061107,           0.0061107,           0.0061107
                 139,            0.014297,            0.069151,          0.00092072,             0.94392,             0.91538,             0.94941,             0.85376,           0.0057481,            0.024509,          0.00039853,            0.006064,            0.006064,            0.006064
                 140,            0.014276,             0.06863,          0.00080946,             0.94247,               0.918,             0.94933,             0.85456,           0.0057322,            0.024481,          0.00039965,           0.0060172,           0.0060172,           0.0060172
                 141,            0.014501,            0.068832,          0.00082326,             0.94237,             0.91873,             0.94967,             0.85472,           0.0057277,            0.024476,          0.00039969,           0.0059704,           0.0059704,           0.0059704
                 142,            0.014373,            0.068154,          0.00082284,             0.94371,             0.91759,             0.94942,             0.85574,           0.0057221,            0.024468,          0.00039991,           0.0059235,           0.0059235,           0.0059235
                 143,            0.014127,            0.066671,          0.00078262,             0.94333,             0.91805,             0.94805,             0.85541,           0.0057168,            0.024458,          0.00040008,           0.0058766,           0.0058766,           0.0058766
                 144,            0.014326,            0.067842,          0.00074708,             0.94352,             0.91796,              0.9491,             0.85603,           0.0057111,            0.024451,          0.00040135,           0.0058296,           0.0058296,           0.0058296
                 145,            0.014308,            0.068447,          0.00083705,             0.94409,             0.91793,             0.94885,              0.8557,           0.0057079,            0.024447,          0.00040295,           0.0057826,           0.0057826,           0.0057826
                 146,            0.014297,            0.067762,          0.00082699,              0.9438,             0.91722,              0.9483,             0.85527,           0.0057057,            0.024441,          0.00040469,           0.0057355,           0.0057355,           0.0057355
                 147,            0.014211,            0.067904,           0.0008054,             0.94346,             0.91738,             0.94851,             0.85566,            0.005705,            0.024443,          0.00040566,           0.0056884,           0.0056884,           0.0056884
                 148,            0.014086,            0.066953,          0.00080272,             0.94346,             0.91747,              0.9476,              0.8552,           0.0057029,             0.02444,          0.00040664,           0.0056413,           0.0056413,           0.0056413
                 149,            0.014269,              0.0682,          0.00082757,             0.94318,              0.9172,             0.94907,             0.85518,           0.0056964,            0.024431,          0.00040706,           0.0055942,           0.0055942,           0.0055942
                 150,            0.014055,            0.067122,          0.00086602,             0.94273,             0.91685,             0.94901,             0.85556,           0.0056916,            0.024425,          0.00040688,           0.0055471,           0.0055471,           0.0055471
                 151,            0.014079,             0.06765,          0.00084484,              0.9421,             0.91668,             0.94908,             0.85581,           0.0056845,            0.024413,          0.00040761,              0.0055,              0.0055,              0.0055
                 152,            0.014083,            0.066101,          0.00081913,             0.94348,             0.91432,             0.94916,             0.85566,           0.0056775,              0.0244,          0.00040794,           0.0054529,           0.0054529,           0.0054529
                 153,            0.014055,            0.068441,          0.00082948,             0.94183,             0.91551,             0.94917,              0.8553,           0.0056713,            0.024388,          0.00040856,           0.0054058,           0.0054058,           0.0054058
                 154,            0.013943,            0.067243,          0.00084361,             0.94457,              0.9129,              0.9493,             0.85535,           0.0056673,            0.024385,          0.00040916,           0.0053587,           0.0053587,           0.0053587
